15-1031,"Computer Software Engineers, Applications","1,092","1,274",16.7%,27,$22.43,$30.64,http://online.onetcenter.org/link/summary/15-1031.00,"Computer Software Engineers, Applications",Bachelors Degree 
15-1051,Computer Systems Analysts,"1,726","1,835",6.3%,48,$24.23,$33.02,http://online.onetcenter.org/link/summary/15-1051.00,Computer Systems Analysts,Bachelors Degree 
11-9021,Construction Managers,"2,324","2,498",7.5%,35,$23.53,$33.64,http://online.onetcenter.org/link/summary/11-9021.00,Construction Managers,Bachelors Degree 
13-1051,Cost Estimators,742,845,13.9%,27,$16.82,$24.94,http://online.onetcenter.org/link/summary/13-1051.00,Cost Estimators,Bachelors Degree 
11-9032,"Education Administrators, Elementary and Secondary School","1,512","1,467",-3.0%,45,"$49,010","$70,820",http://online.onetcenter.org/link/summary/11-9032.00,"Education Administrators, Elementary and Secondary School",Bachelors Degree 
21-1012,"Educational, Vocational, and School Counselors","1,194","1,211",1.4%,26,$16.85,$22.13,http://online.onetcenter.org/link/summary/21-1012.00,"Educational, Vocational, and School Counselors",Bachelors Degree 
25-2021,"Elementary School Teachers, Except Special Education","6,333","6,542",3.3%,165,"$31,050","$45,580",http://online.onetcenter.org/link/summary/25-2021.00,"Elementary School Teachers, Except Special Education",Bachelors Degree 
13-1071,"Employment, Recruitment, and Placement Specialists",623,719,15.4%,26,$15.52,$20.32,http://online.onetcenter.org/link/summary/13-1071.00,"Employment, Recruitment, and Placement Specialists",Bachelors Degree 
19-2041,"Environmental Scientists and Specialists, Including Health",725,766,5.7%,25,$19.14,$22.35,http://online.onetcenter.org/link/summary/19-2041.00,"Environmental Scientists and Specialists, Including Health",Bachelors Degree 
29-1062,Family and General Practitioners,875,937,7.1%,21,$41.65,$67.51,http://online.onetcenter.org/link/summary/29-1062.00,Family and General Practitioners,Bachelors Degree 
11-3031,Financial Managers,"2,945","2,952",0.2%,54,$23.28,$35.10,http://online.onetcenter.org/link/summary/11-3031.00,Financial Managers,Bachelors Degree 
11-1021,General and Operations Managers,"8,288","7,576",-8.6%,240,$21.91,$37.20,http://online.onetcenter.org/link/summary/11-1021.00,General and Operations Managers,Bachelors Degree 
27-1024,Graphic Designers,954,977,2.4%,31,$12.32,$17.41,http://online.onetcenter.org/link/summary/27-1024.00,Graphic Designers,Bachelors Degree 
17-2112,Industrial Engineers,682,743,8.9%,23,$26.52,$34.59,http://online.onetcenter.org/link/summary/17-2112.00,Industrial Engineers,Bachelors Degree 
25-2012,"Kindergarten Teachers, Except Special Education",924,949,2.7%,22,"$29,470","$44,580",http://online.onetcenter.org/link/summary/25-2012.00,"Kindergarten Teachers, Except Special Education",Bachelors Degree 
23-1011,Lawyers,"2,797","2,797",0.0%,52,$24.24,$36.99,http://online.onetcenter.org/link/summary/23-1011.00,Lawyers,Bachelors Degree 
25-4021,Librarians,900,884,-1.8%,24,$13.04,$20.62,http://online.onetcenter.org/link/summary/25-4021.00,Librarians,Bachelors Degree 
13-1111,Management Analysts,"1,622","1,681",3.6%,34,$19.70,$27.93,http://online.onetcenter.org/link/summary/13-1111.00,Management Analysts,Bachelors Degree 
29-2011,Medical and Clinical Laboratory Technologists,951,"1,034",8.7%,26,$18.74,$25.04,http://online.onetcenter.org/link/summary/29-2011.00,Medical and Clinical Laboratory Technologists,Bachelors Degree 
11-9111,Medical and Health Services Managers,"1,607","1,738",8.2%,44,$23.23,$34.53,http://online.onetcenter.org/link/summary/11-9111.00,Medical and Health Services Managers,Bachelors Degree 
21-1022,Medical and Public Health Social Workers,712,775,8.8%,24,$16.30,$21.19,http://online.onetcenter.org/link/summary/21-1022.00,Medical and Public Health Social Workers,Bachelors Degree 
21-1023,Mental Health and Substance Abuse Social Workers,"1,494","1,594",6.7%,48,$13.40,$18.57,http://online.onetcenter.org/link/summary/21-1023.00,Mental Health and Substance Abuse Social Workers,Bachelors Degree 
25-2022,"Middle School Teachers, Except Special and Vocational Education","3,185","3,276",2.9%,81,"$31,490","$45,930",http://online.onetcenter.org/link/summary/25-2022.00,"Middle School Teachers, Except Special and Vocational Education",Bachelors Degree 
15-1071,Network and Computer Systems Administrators,"1,220","1,315",7.8%,30,$20.50,$28.30,http://online.onetcenter.org/link/summary/15-1071.00,Network and Computer Systems Administrators,Bachelors Degree 
15-1081,Network Systems and Data Communications Analysts,831,"1,160",39.6%,48,$19.89,$28.97,http://online.onetcenter.org/link/summary/15-1081.00,Network Systems and Data Communications Analysts,Bachelors Degree 
29-1051,Pharmacists,"1,288","1,401",8.8%,40,$47.33,$57.23,http://online.onetcenter.org/link/summary/29-1051.00,Pharmacists,Bachelors Degree 
29-1123,Physical Therapists,"1,084","1,258",16.1%,30,$25.58,$31.54,http://online.onetcenter.org/link/summary/29-1123.00,Physical Therapists,Bachelors Degree 
29-1071,Physician Assistants,744,894,20.2%,29,$34.24,$40.04,http://online.onetcenter.org/link/summary/29-1071.00,Physician Assistants,Bachelors Degree 
29-1069,"Physicians and Surgeons, All Other","1,474","1,575",6.9%,36,$30.81,$80.00,http://online.onetcenter.org/link/summary/29-1069.00,"Physicians and Surgeons, All Other",Bachelors Degree 
27-3031,Public Relations Specialists,"1,168","1,317",12.8%,43,$15.90,$22.90,http://online.onetcenter.org/link/summary/27-3031.00,Public Relations Specialists,Bachelors Degree 
11-2022,Sales Managers,"1,244","1,346",8.2%,37,$23.05,$38.09,http://online.onetcenter.org/link/summary/11-2022.00,Sales Managers,Bachelors Degree 
25-2031,"Secondary School Teachers, Except Special and Vocational Education","5,341","5,185",-2.9%,155,"$31,240","$45,100",http://online.onetcenter.org/link/summary/25-2031.00,"Secondary School Teachers, Except Special and Vocational Education",Bachelors Degree 
41-3031,"Securities, Commodities, and Financial Services Sales Agents","1,047","1,007",-3.8%,32,$18.72,$35.59,http://online.onetcenter.org/link/summary/41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Bachelors Degree 
11-9151,Social and Community Service Managers,"1,128","1,085",-3.8%,26,$18.18,$24.07,http://online.onetcenter.org/link/summary/11-9151.00,Social and Community Service Managers,Bachelors Degree 
25-2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School","1,713","1,825",6.5%,55,"$29,110","$43,190",http://online.onetcenter.org/link/summary/25-2041.00,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",Bachelors Degree 
25-2043,"Special Education Teachers, Secondary School",713,719,0.8%,20,"$31,400","$44,120",http://online.onetcenter.org/link/summary/25-2043.00,"Special Education Teachers, Secondary School",Bachelors Degree 
29-1127,Speech-Language Pathologists,762,851,11.7%,23,$20.04,$26.68,http://online.onetcenter.org/link/summary/29-1127.00,Speech-Language Pathologists,Bachelors Degree 
13-1073,Training and Development Specialists,"1,069","1,190",11.3%,40,$15.17,$22.53,http://online.onetcenter.org/link/summary/13-1073.00,Training and Development Specialists,Bachelors Degree 
27-3043,Writers and Authors,880,973,10.6%,27,$14.13,$21.38,http://online.onetcenter.org/link/summary/27-3043.00,Writers and Authors,Bachelors Degree 
