High Growth,SOC Code,SOCTitle,Base Empl,Proj Empl,Percent Change,Total Openings,2011 Entry Wage,2011 Median Wage,Education/ Training Required,URL,O*NET Summary Report URL
X,29-1122,Occupational Therapists,"1,004","1,135",13.1,32,$22.28,$31.36,Master's degree,http://www.onetonline.org/link/summary/29-1122.00,http://www.onetonline.org/link/summary/29-1122.00
X,49-9041,Industrial Machinery Mechanics,"1,226","1,296",5.7,31,$18.62,$24.07,High school diploma or equivalent,http://www.onetonline.org/link/summary/49-9041.00,http://www.onetonline.org/link/summary/49-9041.00
X,29-1126,Respiratory Therapists,504,711,41.1,31,$21.18,$25.72,Associate's degree,http://www.onetonline.org/link/summary/29-1126.00,http://www.onetonline.org/link/summary/29-1126.00
X,31-9011,Massage Therapists,"1,176","1,297",10.3,31,$10.65,$16.36,Postsecondary non-degree award,http://www.onetonline.org/link/summary/31-9011.00,http://www.onetonline.org/link/summary/31-9011.00
X,11-9033,"Education Administrators, Postsecondary",721,827,14.7,31,$22.26,$32.36,Master's degree,http://www.onetonline.org/link/summary/11-9033.00,http://www.onetonline.org/link/summary/11-9033.00
X,25-2012,"Kindergarten Teachers, Except Special Education",909,982,8.0,31,$15.75,$22.82,Bachelor's degree,http://www.onetonline.org/link/summary/25-2012.00,http://www.onetonline.org/link/summary/25-2012.00
X,27-1024,Graphic Designers,843,893,5.9,31,$12.77,$18.14,Bachelor's degree,http://www.onetonline.org/link/summary/27-1024.00,http://www.onetonline.org/link/summary/27-1024.00
X,23-2011,Paralegals and Legal Assistants,"1,089","1,230",13.0,30,$15.15,$21.27,Associate's degree,http://www.onetonline.org/link/summary/23-2011.00,http://www.onetonline.org/link/summary/23-2011.00
X,31-9091,Dental Assistants,"1,008","1,097",8.8,30,$14.27,$17.85,Postsecondary non-degree award,http://www.onetonline.org/link/summary/31-9091.00,http://www.onetonline.org/link/summary/31-9091.00
X,37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers","1,128","1,243",10.2,28,$14.85,$19.94,High school diploma or equivalent,http://www.onetonline.org/link/summary/37-1012.00,http://www.onetonline.org/link/summary/37-1012.00
,43-5061,"Production, Planning, and Expediting Clerks","1,062","1,039",-2.2,28,$14.26,$21.73,High school diploma or equivalent,http://www.onetonline.org/link/summary/43-5061.00,http://www.onetonline.org/link/summary/43-5061.00
X,21-1022,Medical and Public Health Social Workers,665,788,18.5,28,$17.43,$21.60,Master's degree,http://www.onetonline.org/link/summary/21-1022.00,http://www.onetonline.org/link/summary/21-1022.00
X,13-1161,Market Research Analysts and Marketing Specialists,494,630,27.5,27,$17.64,$24.73,Bachelor's degree,http://www.onetonline.org/link/summary/13-1161.00,http://www.onetonline.org/link/summary/13-1161.00
X,15-1142,Network and computer systems architects and administrators,798,925,15.9,27,$20.96,$27.75,Bachelor's degree,http://www.onetonline.org/link/summary/15-1142.00,http://www.onetonline.org/link/summary/15-1142.00
,17-2141,Mechanical Engineers,850,841,-1.1,27,$25.34,$34.19,Bachelor's degree,http://www.onetonline.org/link/summary/17-2141.00,http://www.onetonline.org/link/summary/17-2141.00
X,11-9141,"Property, Real Estate, and Community Association Managers",950,"1,012",6.5,26,$13.37,$19.80,High school diploma or equivalent,http://www.onetonline.org/link/summary/11-9141.00,http://www.onetonline.org/link/summary/11-9141.00
X,29-2012,Medical and Clinical Laboratory Technicians,717,834,16.3,26,$13.67,$19.69,Associate's degree,http://www.onetonline.org/link/summary/29-2012.00,http://www.onetonline.org/link/summary/29-2012.00
X,11-2021,Marketing Managers,742,787,6.1,26,$23.42,$37.97,Bachelor's degree,http://www.onetonline.org/link/summary/11-2021.00,http://www.onetonline.org/link/summary/11-2021.00
X,29-1062,Family and General Practitioners,796,900,13.1,26,$51.61,$76.59,Doctoral or professional degree,http://www.onetonline.org/link/summary/29-1062.00,http://www.onetonline.org/link/summary/29-1062.00
X,29-1071,Physician Assistants,764,882,15.5,26,$35.63,$43.36,Master's degree,http://www.onetonline.org/link/summary/29-1071.00,http://www.onetonline.org/link/summary/29-1071.00
,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers","1,145","1,074",-6.2,25,$12.22,$17.80,High school diploma or equivalent,http://www.onetonline.org/link/summary/51-9061.00,http://www.onetonline.org/link/summary/51-9061.00
,53-7032,Excavating and Loading Machine and Dragline Operators,727,758,4.3,25,$13.40,$17.32,Less than high school,http://www.onetonline.org/link/summary/53-7032.00,http://www.onetonline.org/link/summary/53-7032.00
X,19-4021,Biological Technicians,503,584,16.1,25,$14.11,$18.09,Bachelor's degree,http://www.onetonline.org/link/summary/19-4021.00,http://www.onetonline.org/link/summary/19-4021.00
X,39-9031,Fitness Trainers and Aerobics Instructors,855,956,11.8,24,$8.65,$16.55,High school diploma or equivalent,http://www.onetonline.org/link/summary/39-9031.00,http://www.onetonline.org/link/summary/39-9031.00
X,53-1021,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",662,759,14.7,24,$10.91,$18.28,High school diploma or equivalent,http://www.onetonline.org/link/summary/53-1021.00,http://www.onetonline.org/link/summary/53-1021.00
X,29-2055,Surgical Technologists,558,693,24.2,24,$15.42,$18.71,Postsecondary non-degree award,http://www.onetonline.org/link/summary/29-2055.00,http://www.onetonline.org/link/summary/29-2055.00
X,13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",963,"1,078",11.9,24,$20.40,$27.82,Bachelor's degree,http://www.onetonline.org/link/summary/13-1041.00,http://www.onetonline.org/link/summary/13-1041.00
,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",959,926,-3.4,23,$15.21,$35.52,High school diploma or equivalent,http://www.onetonline.org/link/summary/27-1013.00,http://www.onetonline.org/link/summary/27-1013.00
X,47-4011,Construction and Building Inspectors,634,676,6.6,23,$13.17,$18.80,High school diploma or equivalent,http://www.onetonline.org/link/summary/47-4011.00,http://www.onetonline.org/link/summary/47-4011.00
X,11-2031,Public Relations Managers,584,640,9.6,23,$22.64,$28.62,Bachelor's degree,http://www.onetonline.org/link/summary/11-2031.00,http://www.onetonline.org/link/summary/11-2031.00
X,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",924,"1,012",9.5,23,$21.05,$29.76,Bachelor's degree,http://www.onetonline.org/link/summary/15-1179.00,http://www.onetonline.org/link/summary/15-1179.00
X,19-3031,"Clinical, Counseling, and School Psychologists",522,591,13.2,23,$18.16,$28.90,Doctoral or professional degree,http://www.onetonline.org/link/summary/19-3031.00,http://www.onetonline.org/link/summary/19-3031.00
X,21-1091,Health Educators,488,606,24.2,23,$15.28,$19.98,Bachelor's degree,http://www.onetonline.org/link/summary/21-1091.00,http://www.onetonline.org/link/summary/21-1091.00
,25-2054,"Special Education Teachers, Secondary School",768,758,-1.3,23,$17.16,$23.08,Bachelor's degree,http://www.onetonline.org/link/summary/25-2054.00,http://www.onetonline.org/link/summary/25-2054.00
X,29-2011,Medical and Clinical Laboratory Technologists,641,754,17.6,23,$19.12,$25.61,Bachelor's degree,http://www.onetonline.org/link/summary/29-2011.00,http://www.onetonline.org/link/summary/29-2011.00
X,41-3031,"Securities, Commodities, and Financial Services Sales Agents",673,718,6.7,23,$18.91,$33.82,Bachelor's degree,http://www.onetonline.org/link/summary/41-3031.00,http://www.onetonline.org/link/summary/41-3031.00
X,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",604,700,15.9,22,$13.64,$19.82,High school diploma or equivalent,http://www.onetonline.org/link/summary/51-4011.00,http://www.onetonline.org/link/summary/51-4011.00
X,11-3021,Computer and Information Systems Managers,914,999,9.3,22,$29.10,$40.89,Bachelor's degree,http://www.onetonline.org/link/summary/11-3021.00,http://www.onetonline.org/link/summary/11-3021.00
X,13-1051,Cost Estimators,679,768,13.1,22,$17.72,$24.14,Bachelor's degree,http://www.onetonline.org/link/summary/13-1051.00,http://www.onetonline.org/link/summary/13-1051.00
X,25-2053,"Special Education Teachers, Middle School",549,611,11.3,22,$17.22,$22.12,Bachelor's degree,http://www.onetonline.org/link/summary/25-2053.00,http://www.onetonline.org/link/summary/25-2053.00
